id,num_orders
1028232,622
1127204,177
1212707,94
1082698,96
1400926,54
1284113,487
1197966,325
1132739,242
1057981,122
1095932,284
1454421,96
1149765,460
1166964,243
1010949,298
1409575,122
1181616,15
1456020,364
1264395,486
1472931,541
1412015,68
1461229,177
1014564,258
1485914,41
1345389,80
1006833,283
1174921,26
1175393,40
1152412,13
1497398,42
1363486,27
1366766,13
1192413,14
1319547,149
1337684,94
1479766,202
1460444,1958
1139730,121
1115056,351
1335827,230
1385333,811
1096323,798
1230693,703
1027016,161
1181520,42
1306234,202
1271440,460
1269834,594
1176823,1579
1193098,135
1034878,27
1010243,121
1451807,27
1016845,215
1198021,94
1413802,80
1231223,123
1274226,796
1425142,285
1211593,269
1419190,53
1180223,26
1194932,81
1323477,148
1371595,122
1171521,94
1052384,256
1060921,150
1261811,136
1246502,122
1497466,312
1232717,15
1136112,14
1196334,162
1349533,242
1463406,189
1447686,338
1336105,134
1012855,352
1180646,473
1062490,162
1098228,1592
1101375,203
1400016,447
1439889,122
1408468,53
1044490,68
1290002,852
1190633,797
1040430,1202
1049366,41
1224120,42
1293810,216
1197335,566
1323989,459
1129467,960
1229328,270
1164395,27
1217722,27
1171266,67
1024905,67
1343027,107
1141892,82
1302404,121
1170447,472
1140772,863
1103484,323
1387134,42
1117711,13
1472121,42
1289523,298
1091114,555
1043572,729
1103283,162
1265051,134
1168741,94
1052776,148
1206564,190
1302153,270
1083754,42
1097952,28
1251605,15
1333032,339
1086936,216
1088412,176
1236400,42
1244516,108
1380381,80
1495062,472
1439647,190
1019214,270
1316160,905
1022008,285
1138248,270
1052922,82
1181474,13
1046475,14
1216688,244
1067565,366
1008328,485
1430287,94
1406716,204
1105380,95
1248694,190
1252163,256
1443474,487
1033716,109
1300295,53
1311882,95
1257968,40
1226362,163
1030655,134
1210527,42
1278927,42
1232239,27
1133067,405
1382522,555
1219136,177
1498130,42
1251629,54
1032092,15
1249865,95
1207630,161
1144733,339
1436768,28
1148964,41
1237346,122
1206015,15
1105113,229
1430481,26
1001589,82
1224132,27
1074380,296
1097109,176
1211246,270
1390579,324
1473058,310
1186964,27
1222837,28
1342393,81
1170472,244
1170791,364
1046653,285
1195179,121
1332509,204
1438300,136
1435748,406
1052668,244
1227060,298
1342252,136
1143109,107
1394807,163
1448374,150
1028680,68
1079691,42
1402079,28
1424446,40
1133297,339
1076214,555
1173823,378
1488584,55
1072892,27
1277491,13
1290868,28
1048888,149
1138141,188
1473125,26
1196726,54
1179278,54
1282305,28
1359903,81
1355143,82
1095889,42
1250665,67
1426610,109
1390104,148
1051519,607
1337584,161
1332667,2835
1075942,703
1109804,447
1316684,27
1248315,215
1113611,109
1110867,728
1247289,986
1022953,2094
1160081,149
1120430,42
1487280,257
1020081,2283
1329551,1122
1137610,2161
1072530,270
1115708,339
1203532,161
1494216,339
1116374,204
1032497,135
1413930,122
1136118,107
1254872,108
1398257,879
1364001,1337
1369843,526
1379360,135
1442044,53
1285290,94
1129707,729
1086750,419
1147262,771
1025605,135
1414158,230
1082079,148
1467510,204
1374892,230
1171352,796
1213246,42
1279131,216
1256386,55
1234220,1229
1008206,513
1267686,243
1470186,81
1233312,298
1279379,95
1431703,458
1339938,473
1010552,270
1237947,663
1175098,202
1066074,229
1045918,55
1226081,40
1148633,541
1441429,404
1291804,622
1305194,217
1327840,55
1320801,95
1467101,594
1473989,231
1466330,310
1390856,13
1120639,53
1279275,109
1166120,121
1128404,40
1252491,53
1328056,459
1452353,512
1353276,135
1297182,27
1469299,26
1129687,217
1362599,433
1245170,757
1098570,69
1452600,15
1194207,42
1023619,162
1254600,150
1157094,123
1165391,80
1131248,109
1383646,109
1288250,82
1476141,96
1401237,94
1383510,41
1433607,69
1098207,176
1453624,176
1089046,163
1306954,1958
1413179,135
1379869,501
1037218,13
1247919,296
1097438,148
1441938,755
1060769,837
1409283,1513
1397517,204
1220386,42
1297481,149
1309280,1176
1013813,1216
1087803,2107
1256077,109
1328392,42
1197947,53
1134877,161
1149222,149
1321757,217
1364052,123
1346914,15
1343936,1257
1284997,420
1443980,338
1272226,42
1267791,42
1049345,15
1300007,634
1220471,378
1486124,1093
1183373,108
1076787,216
1218918,69
1351627,202
1333350,418
1312936,404
1477543,40
1408514,55
1256773,94
1174904,393
1392815,406
1389126,269
1074816,123
1124612,202
1318251,176
1089252,122
1396463,324
1289632,323
1083889,312
1121896,163
1004866,298
1234436,40
1311318,148
1476647,41
1419834,297
1188670,472
1260238,202
1263791,94
1070835,54
1433069,68
1349084,230
1360259,149
1022475,352
1037167,122
1492031,53
1057541,67
1483675,54
1463966,54
1474096,55
1440771,14
1452763,69
1382621,283
1035365,446
1355984,285
1140520,14
1168148,150
1052343,242
1370827,163
1055728,41
1053449,15
1368579,13
1208370,54
1027455,41
1147326,54
1203029,26
1389643,69
1482071,13
1411487,378
1043533,325
1294351,107
1409427,257
1000264,96
1016463,54
1224218,82
1485114,54
1006410,163
1221242,161
1031339,420
1153545,148
1182144,136
1194788,134
1082828,80
1265773,123
1154515,150
1105986,216
1293017,68
1272587,14
1027143,69
1179146,175
1342337,13
1269746,53
1369030,122
1109605,109
1099603,392
1319113,13
1155697,40
1218892,175
1493357,175
1202597,82
1116108,14
1229780,13
1391127,42
1085957,95
1267409,67
1245159,109
1378973,69
1079844,203
1024089,258
1463712,109
1268331,352
1058344,419
1417277,163
1056035,95
1343254,54
1262833,53
1272751,149
1013213,701
1263405,325
1204818,149
1333742,94
1043262,122
1449237,473
1080908,297
1073524,1093
1196482,121
1068138,190
1320427,243
1184166,82
1228572,323
1075131,257
1128915,14
1182843,134
1094044,809
1209858,771
1222963,122
1037477,108
1001694,95
1054299,80
1371044,67
1254718,109
1086268,188
1003757,28
1448276,55
1489645,364
1491279,215
1408337,177
1360068,40
1316400,94
1110618,108
1146271,258
1474849,285
1352055,121
1245977,162
1165288,134
1081099,82
1441467,40
1336838,312
1106150,432
1190084,162
1232610,95
1321845,13
1159511,215
1441739,230
1096623,122
1474925,13
1118719,26
1297074,40
1054861,310
1208736,310
1161439,109
1282737,176
1194305,149
1353044,404
1063225,26
1116078,15
1075416,40
1088172,27
1320248,366
1271591,728
1127237,176
1243020,485
1416839,189
1172788,339
1473056,54
1060753,40
1053540,123
1261815,526
1489999,338
1133739,53
1384693,13
1072117,53
1023989,190
1183974,150
1171351,136
1004475,26
1080300,13
1164653,26
1444590,68
